City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,saudarkrokur,65.7461,-19.6394,269.98,79,100,11.99,IS,1712454739
84,weatherford,32.7593,-97.7972,295.42,74,3,1.34,US,1712454739
85,ilulissat,69.2167,-51.1,267.16,79,100,0.51,GL,1712454577
86,la passe,45.5549,-0.8967,288.28,76,100,0.88,FR,1712454615
87,sao vicente,-23.9631,-46.3919,298.25,26,100,0.45,BR,1712454689
88,al ghayzah,16.2079,52.176,298.65,72,63,1.55,YE,1712454582
89,hithadhoo,-0.6,73.0833,302.42,73,100,4.58,MV,1712454592
90,katsuura,35.1333,140.3,288.4,94,100,3.89,JP,1712454740
91,thompson,55.7435,-97.8558,281.24,46,75,1.03,CA,1712454427
92,uttaradit,17.6667,100.5,308.14,38,0,2.54,TH,1712454740
93,macau,22.2006,113.5461,300.04,89,40,4.63,MO,1712454619
94,tuy hoa,13.0833,109.3,304.04,57,97,1.8,VN,1712454741
95,vorgashor,67.5833,63.95,265.82,91,100,7.92,RU,1712454604
96,yorkton,51.2167,-102.4677,276.06,87,20,5.14,CA,1712454646
97,riberalta,-10.9833,-66.1,297.65,96,100,1.19,BO,1712454741
98,port lincoln,-34.7333,135.8667,289.32,61,100,2.65,AU,1712454589
99,uttar char fasson,22.2332,90.7132,302.04,79,6,4.12,BD,1712454742
100,holualoa,19.6228,-155.9522,298.06,76,40,6.69,US,1712454623
101,mil'kovo,55.6078,37.7956,276.37,94,100,2.8,RU,1712454743
102,arteixo,43.3048,-8.5075,286.96,86,20,2.06,ES,1712454743
103,necochea,-38.5473,-58.7368,293.33,55,48,6.9,AR,1712454723
104,formosa,-26.1775,-58.1781,301.46,90,53,0.45,AR,1712454743
105,laojunmiao,39.8333,97.7333,282.4,26,75,3.57,CN,1712454576
106,amursk,50.2261,136.8994,274.25,61,98,9.22,RU,1712454744
107,sumbe,-11.2061,13.8437,298.74,92,100,2.61,AO,1712454744
108,nova sintra,14.8667,-24.7167,296.93,74,87,4.13,CV,1712454599
109,rocky mountain house,52.3668,-114.9188,280.21,53,100,1.03,CA,1712454606
110,hermanus,-34.4187,19.2345,290.26,78,87,12.9,ZA,1712454587
111,vadso,70.0744,29.7487,267.64,79,40,8.23,NO,1712454571
112,tual,-5.6667,132.75,301.62,76,93,2.58,ID,1712454617
113,vernon,50.2581,-119.2691,286.89,30,39,3.6,CA,1712454496
114,atafu village,-8.5421,-172.5159,302.62,71,2,1.2,TK,1712454578
115,enewetak,11.3474,162.3373,300.4,79,95,7.91,MH,1712454577
116,kavaratti,10.5669,72.642,301.85,74,100,2.46,IN,1712454579
117,port augusta,-32.5,137.7667,292.63,54,98,4.86,AU,1712454620
118,emerald,-23.5333,148.1667,300.56,67,91,5.65,AU,1712454466
119,stung treng,13.5259,105.9683,305.75,43,7,2.55,KH,1712454746
120,stanley,54.868,-1.6985,282.44,82,40,8.23,GB,1712454571
121,thunder bay,48.4001,-89.3168,278.14,36,20,1.54,CA,1712454667
122,ust-nera,64.5667,143.2,265.08,83,73,1.33,RU,1712454664
123,sungai besar,3.6746,100.9867,304.26,80,6,1.47,MY,1712454466
124,palermo,37.8167,13.5833,287.59,34,8,1.26,IT,1712454747
125,luganville,-15.5333,167.1667,301.56,72,72,5.28,VU,1712454653
126,tralee,52.2704,-9.7026,280.42,85,19,7.54,IE,1712454404
127,solnechnyy,50.7214,136.6319,272.61,96,100,0.8,RU,1712454748
128,arraial do cabo,-22.9661,-42.0278,296.89,84,4,2.98,BR,1712454598
129,misawa,40.6836,141.3597,290.71,55,4,1.9,JP,1712454748
130,udachny,66.4167,112.4,263.25,87,100,10.65,RU,1712454637
131,anadyr,64.75,177.4833,256.43,77,20,5.0,RU,1712454595
132,afaahiti,-17.75,-149.2833,303.08,80,57,4.56,PF,1712454684
133,maragogi,-9.0122,-35.2225,299.68,83,29,2.37,BR,1712454466
134,georgetown,5.4112,100.3354,304.11,74,20,1.03,MY,1712454487
